index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-06db6818-1180-38a8-66b1-13f5451b3202,580.126.09,NVIDIA GeForce RTX 3090,[N/A],Disabled,[Requested functionality has been deprecated]

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,98,24576,21159,2932,2026/06/13 09:33:06.807
0,97,24576,21159,2932,2026/06/13 09:33:11.840
0,97,24576,21159,2932,2026/06/13 09:33:16.875
0,0,24576,21159,2932,2026/06/13 09:33:21.911
0,98,24576,21159,2932,2026/06/13 09:33:26.945
0,0,24576,21159,2932,2026/06/13 09:33:31.979
0,95,24576,21159,2932,2026/06/13 09:33:37.014
0,83,24576,21159,2932,2026/06/13 09:33:42.049
0,0,24576,21159,2932,2026/06/13 09:33:47.084
0,9,24576,21159,2932,2026/06/13 09:33:52.116
0,98,24576,21159,2932,2026/06/13 09:33:57.147
0,97,24576,21159,2932,2026/06/13 09:34:02.184
0,93,24576,21159,2932,2026/06/13 09:34:07.216
0,99,24576,21159,2932,2026/06/13 09:34:12.251
0,0,24576,21159,2932,2026/06/13 09:34:17.285
0,97,24576,21159,2932,2026/06/13 09:34:22.317
0,98,24576,21159,2932,2026/06/13 09:34:27.352
0,98,24576,21159,2932,2026/06/13 09:34:32.388
0,97,24576,21159,2932,2026/06/13 09:34:37.424
0,0,24576,21159,2932,2026/06/13 09:34:42.459
0,9,24576,21159,2932,2026/06/13 09:34:47.492
0,0,24576,21159,2932,2026/06/13 09:34:52.524
0,98,24576,21159,2932,2026/06/13 09:34:57.555
0,0,24576,21159,2932,2026/06/13 09:35:02.587
0,97,24576,21159,2932,2026/06/13 09:35:07.626
0,97,24576,21159,2932,2026/06/13 09:35:12.665
0,97,24576,21159,2932,2026/06/13 09:35:17.703
0,95,24576,21159,2932,2026/06/13 09:35:22.740
0,97,24576,21159,2932,2026/06/13 09:35:27.776
0,98,24576,21159,2932,2026/06/13 09:35:32.811
0,98,24576,21159,2932,2026/06/13 09:35:37.844
0,95,24576,21159,2932,2026/06/13 09:35:42.876
0,10,24576,21159,2932,2026/06/13 09:35:47.910
0,0,24576,21159,2932,2026/06/13 09:35:52.941
0,97,24576,21159,2932,2026/06/13 09:35:57.975
0,92,24576,21159,2932,2026/06/13 09:36:03.012
0,13,24576,21159,2932,2026/06/13 09:36:08.048
0,0,24576,21159,2932,2026/06/13 09:36:13.082
0,0,24576,21159,2932,2026/06/13 09:36:18.111
0,0,24576,21159,2932,2026/06/13 09:36:23.144
0,98,24576,21159,2932,2026/06/13 09:36:28.179
0,97,24576,21159,2932,2026/06/13 09:36:33.213
0,98,24576,21159,2932,2026/06/13 09:36:38.246
0,7,24576,21159,2932,2026/06/13 09:36:43.279
0,0,24576,21159,2932,2026/06/13 09:36:48.313
0,0,24576,21159,2932,2026/06/13 09:36:53.347
0,98,24576,21159,2932,2026/06/13 09:36:58.381
0,99,24576,21159,2932,2026/06/13 09:37:03.413
0,0,24576,21159,2932,2026/06/13 09:37:08.451
0,0,24576,21159,2932,2026/06/13 09:37:13.484
0,98,24576,21159,2932,2026/06/13 09:37:18.519
0,98,24576,21159,2932,2026/06/13 09:37:23.553
0,0,24576,21159,2932,2026/06/13 09:37:28.583
0,98,24576,21159,2932,2026/06/13 09:37:33.620
0,98,24576,21159,2932,2026/06/13 09:37:38.652
0,0,24576,21159,2932,2026/06/13 09:37:43.685
0,7,24576,21159,2932,2026/06/13 09:37:48.720
0,97,24576,21159,2932,2026/06/13 09:37:53.753
0,99,24576,21159,2932,2026/06/13 09:37:58.789
0,98,24576,21159,2932,2026/06/13 09:38:03.823
0,99,24576,21159,2932,2026/06/13 09:38:08.854
0,99,24576,21159,2932,2026/06/13 09:38:13.888
0,16,24576,21159,2932,2026/06/13 09:38:18.923
0,0,24576,21159,2932,2026/06/13 09:38:23.959
0,98,24576,21159,2932,2026/06/13 09:38:28.993
0,97,24576,21159,2932,2026/06/13 09:38:34.030
0,0,24576,21159,2932,2026/06/13 09:38:39.063
0,8,24576,21159,2932,2026/06/13 09:38:44.098
0,33,24576,21159,2932,2026/06/13 09:38:49.139
0,96,24576,21159,2932,2026/06/13 09:38:54.174
0,0,24576,21159,2932,2026/06/13 09:38:59.207
0,97,24576,21159,2932,2026/06/13 09:39:04.242
0,96,24576,21159,2932,2026/06/13 09:39:09.280
0,99,24576,21159,2932,2026/06/13 09:39:14.313
0,98,24576,21159,2932,2026/06/13 09:39:19.346
0,97,24576,21159,2932,2026/06/13 09:39:24.379
0,97,24576,21159,2932,2026/06/13 09:39:29.417
0,0,24576,21159,2932,2026/06/13 09:39:34.449
0,0,24576,21159,2932,2026/06/13 09:39:39.484
0,0,24576,21159,2932,2026/06/13 09:39:44.518
0,98,24576,21159,2932,2026/06/13 09:39:49.551
0,98,24576,21159,2932,2026/06/13 09:39:54.581
